zone,town
01,Darwin
02,Pt Hedland
03,Longreach
04,Carnarvon
05,Townsville
06,Alice Springs
07,Rockhampton
08,Moree
09,Amberley
10,Brisbane
11,Coffs Harbour
12,Geraldton
13,Perth
14,Armidale
15,Williamtown
16,Adelaide
17,Sydney RO
18,Nowra
19,Charleville
20,Wagga
21,Melbourne RO
22,East Sale
23,Launceston (Ti Tree Bend)
24,Canberra
25,Cabramurra
26,Hobart
27,Mildura
28,Richmond RAAF
29,Weipa
30,Wyndham
31,Willis Island
32,Cairns
33,Broome
34,Learmonth
35,Mackay
36,Gladstone
37,Halls Creek
38,Tennant Creek
39,Mt Isa
40,Newman
41,Giles
42,Meekatharra
43,Oodnadatta
44,Kalgoorlie
45,Woomera
46,Cobar
47,Bickley
48,Dubbo
49,Katanning
50,Oakey
51,Forrest
52,Swanbourne
53,Ceduna
54,Mandurah
55,Esperance
56,Mascot (Sydney AP)
57,Manjimup
58,Albany
59,Mt Lofty
60,Tullamarine (Melbourne AP)
61,Mt Gambier
62,Moorabbin
63,Warrnambool
64,Cape Otway
65,Orange
66,Ballarat
67,Low Head
68,Launceston AP
69,Thredbo Village
70,Toowoomba
71,Atherton
72,Roxby Downs
73,Maleny
74,Katherine
75,Adelaide Coastal (AMO)
76,Tamworth
77,Parramatta
78,Sub-Alpine (Cooma AP)
79,Blue Mountains
80,Coldstream
81,Busselton
82,Glasshouse Mts
83,Christmas Island
