postcode,zone,town
0800,1,1 - Darwin
0801,1,1 - Darwin
0804,1,1 - Darwin
0810,1,1 - Darwin
0811,1,1 - Darwin
0812,1,1 - Darwin
0813,1,1 - Darwin
0814,1,1 - Darwin
0815,1,1 - Darwin
0820,1,1 - Darwin
0821,1,1 - Darwin
0822,1,1 - Darwin
0828,1,1 - Darwin
0829,1,1 - Darwin
0830,1,1 - Darwin
0831,1,1 - Darwin
0832,1,1 - Darwin
0835,1,1 - Darwin
0836,1,1 - Darwin
0837,1,1 - Darwin
0838,1,1 - Darwin
0840,1,1 - Darwin
0845,1,1 - Darwin
0846,1,1 - Darwin
0880,1,1 - Darwin
0881,1,1 - Darwin
0885,1,1 - Darwin
6710,2,2 - Pt Hedland
6711,2,2 - Pt Hedland
6712,2,2 - Pt Hedland
6713,2,2 - Pt Hedland
6714,2,2 - Pt Hedland
6718,2,2 - Pt Hedland
6720,2,2 - Pt Hedland
6721,2,2 - Pt Hedland
6722,2,2 - Pt Hedland
4702,3,3 - Longreach
4721,3,3 - Longreach
4725,3,3 - Longreach
4726,3,3 - Longreach
4727,3,3 - Longreach
4728,3,3 - Longreach
4730,3,3 - Longreach
4731,3,3 - Longreach
4732,3,3 - Longreach
4733,3,3 - Longreach
4735,3,3 - Longreach
6537,4,4 - Carnarvon
6701,4,4 - Carnarvon
4804,5,5 - Townsville
4805,5,5 - Townsville
4806,5,5 - Townsville
4807,5,5 - Townsville
4808,5,5 - Townsville
4809,5,5 - Townsville
4810,5,5 - Townsville
4811,5,5 - Townsville
4812,5,5 - Townsville
4813,5,5 - Townsville
4814,5,5 - Townsville
4815,5,5 - Townsville
4816,5,5 - Townsville
4817,5,5 - Townsville
4818,5,5 - Townsville
4819,5,5 - Townsville
0870,6,6 - Alice Springs
0871,6,6 - Alice Springs
0872,6,6 - Alice Springs
4697,7,7 - Rockhampton
4699,7,7 - Rockhampton
4700,7,7 - Rockhampton
4701,7,7 - Rockhampton
4703,7,7 - Rockhampton
4704,7,7 - Rockhampton
4705,7,7 - Rockhampton
4710,7,7 - Rockhampton
4711,7,7 - Rockhampton
4712,7,7 - Rockhampton
4713,7,7 - Rockhampton
4714,7,7 - Rockhampton
4742,7,7 - Rockhampton
4744,7,7 - Rockhampton
4745,7,7 - Rockhampton
4746,7,7 - Rockhampton
4751,7,7 - Rockhampton
2386,8,8 - Moree
2387,8,8 - Moree
2388,8,8 - Moree
2390,8,8 - Moree
2397,8,8 - Moree
2398,8,8 - Moree
2399,8,8 - Moree
2400,8,8 - Moree
2401,8,8 - Moree
2402,8,8 - Moree
2405,8,8 - Moree
2406,8,8 - Moree
2408,8,8 - Moree
2409,8,8 - Moree
2410,8,8 - Moree
2411,8,8 - Moree
2832,8,8 - Moree
2833,8,8 - Moree
2834,8,8 - Moree
2469,9,9 - Amberley
2470,9,9 - Amberley
2471,9,9 - Amberley
2474,9,9 - Amberley
2480,9,9 - Amberley
4124,9,9 - Amberley
4132,9,9 - Amberley
4133,9,9 - Amberley
4270,9,9 - Amberley
4275,9,9 - Amberley
4280,9,9 - Amberley
4285,9,9 - Amberley
4287,9,9 - Amberley
4300,9,9 - Amberley
4301,9,9 - Amberley
4303,9,9 - Amberley
4304,9,9 - Amberley
4305,9,9 - Amberley
4306,9,9 - Amberley
4307,9,9 - Amberley
4309,9,9 - Amberley
4310,9,9 - Amberley
4311,9,9 - Amberley
4312,9,9 - Amberley
4313,9,9 - Amberley
4340,9,9 - Amberley
4341,9,9 - Amberley
4342,9,9 - Amberley
4343,9,9 - Amberley
4345,9,9 - Amberley
4346,9,9 - Amberley
4370,9,9 - Amberley
4371,9,9 - Amberley
4372,9,9 - Amberley
4378,9,9 - Amberley
4500,9,9 - Amberley
4501,9,9 - Amberley
4502,9,9 - Amberley
4503,9,9 - Amberley
4504,9,9 - Amberley
4505,9,9 - Amberley
4506,9,9 - Amberley
4507,9,9 - Amberley
4508,9,9 - Amberley
4509,9,9 - Amberley
4510,9,9 - Amberley
4511,9,9 - Amberley
4512,9,9 - Amberley
4514,9,9 - Amberley
4515,9,9 - Amberley
4516,9,9 - Amberley
4517,9,9 - Amberley
4518,9,9 - Amberley
4519,9,9 - Amberley
4520,9,9 - Amberley
4521,9,9 - Amberley
4550,9,9 - Amberley
4570,9,9 - Amberley
4571,9,9 - Amberley
4600,9,9 - Amberley
2477,10,10 - Brisbane
2478,10,10 - Brisbane
2479,10,10 - Brisbane
2481,10,10 - Brisbane
2482,10,10 - Brisbane
2483,10,10 - Brisbane
2484,10,10 - Brisbane
2485,10,10 - Brisbane
2486,10,10 - Brisbane
2487,10,10 - Brisbane
2488,10,10 - Brisbane
2489,10,10 - Brisbane
2490,10,10 - Brisbane
4000,10,10 - Brisbane
4005,10,10 - Brisbane
4006,10,10 - Brisbane
4007,10,10 - Brisbane
4008,10,10 - Brisbane
4009,10,10 - Brisbane
4010,10,10 - Brisbane
4011,10,10 - Brisbane
4012,10,10 - Brisbane
4013,10,10 - Brisbane
4014,10,10 - Brisbane
4017,10,10 - Brisbane
4018,10,10 - Brisbane
4019,10,10 - Brisbane
4020,10,10 - Brisbane
4021,10,10 - Brisbane
4022,10,10 - Brisbane
4025,10,10 - Brisbane
4029,10,10 - Brisbane
4030,10,10 - Brisbane
4031,10,10 - Brisbane
4032,10,10 - Brisbane
4034,10,10 - Brisbane
4035,10,10 - Brisbane
4036,10,10 - Brisbane
4037,10,10 - Brisbane
4051,10,10 - Brisbane
4053,10,10 - Brisbane
4054,10,10 - Brisbane
4055,10,10 - Brisbane
4059,10,10 - Brisbane
4060,10,10 - Brisbane
4061,10,10 - Brisbane
4064,10,10 - Brisbane
4065,10,10 - Brisbane
4066,10,10 - Brisbane
4067,10,10 - Brisbane
4068,10,10 - Brisbane
4069,10,10 - Brisbane
4070,10,10 - Brisbane
4072,10,10 - Brisbane
4073,10,10 - Brisbane
4074,10,10 - Brisbane
4075,10,10 - Brisbane
4076,10,10 - Brisbane
4077,10,10 - Brisbane
4078,10,10 - Brisbane
4101,10,10 - Brisbane
4102,10,10 - Brisbane
4103,10,10 - Brisbane
4104,10,10 - Brisbane
4105,10,10 - Brisbane
4106,10,10 - Brisbane
4107,10,10 - Brisbane
4108,10,10 - Brisbane
4109,10,10 - Brisbane
4110,10,10 - Brisbane
4111,10,10 - Brisbane
4112,10,10 - Brisbane
4113,10,10 - Brisbane
4114,10,10 - Brisbane
4115,10,10 - Brisbane
4116,10,10 - Brisbane
4117,10,10 - Brisbane
4118,10,10 - Brisbane
4119,10,10 - Brisbane
4120,10,10 - Brisbane
4121,10,10 - Brisbane
4122,10,10 - Brisbane
4123,10,10 - Brisbane
4125,10,10 - Brisbane
4127,10,10 - Brisbane
4128,10,10 - Brisbane
4129,10,10 - Brisbane
4130,10,10 - Brisbane
4131,10,10 - Brisbane
4151,10,10 - Brisbane
4152,10,10 - Brisbane
4153,10,10 - Brisbane
4154,10,10 - Brisbane
4155,10,10 - Brisbane
4156,10,10 - Brisbane
4157,10,10 - Brisbane
4158,10,10 - Brisbane
4159,10,10 - Brisbane
4160,10,10 - Brisbane
4161,10,10 - Brisbane
4163,10,10 - Brisbane
4164,10,10 - Brisbane
4165,10,10 - Brisbane
4169,10,10 - Brisbane
4170,10,10 - Brisbane
4171,10,10 - Brisbane
4172,10,10 - Brisbane
4173,10,10 - Brisbane
4174,10,10 - Brisbane
