zone,town,signif,ntotal_Winter,ntotal_Summer,n_Winter,n_Summer,p_Winter,p_Summer,moe_Winter,moe_Summer,nlow_Winter,nlow_Summer,plow_Winter,plow_Summer,nhigh_Winter,nhigh_Summer,phigh_Winter,phigh_Summer,balance
2,2 - Pt Hedland,NA,13,13,1,3,0.07692307692307693,0.23076923076923078,0.14485439144214035,0.22903490301738305,-0.8831070887478245,0.0225462607740205,-0.06793131451906342,0.0017343277518477307,2.8831070887478245,5.97745373922598,0.22177746836521728,0.45980413378661383,No significant difference (summer slightly higher)
3,3 - Longreach,NA,11,11,2,2,0.16666666666666666,0.18181818181818182,0.21086242662684826,0.22793094766745262,-0.4861533595619976,-0.5072404243419787,-0.0441957599601816,-0.04611276584927079,4.152820026228664,4.507240424341979,0.3775290932935149,0.40974912948563447,No significant difference (summer slightly higher)
5,5 - Townsville,NA,91,91,14,19,0.15384615384615385,0.2087912087912088,0.07413159822408505,0.08350972077437628,7.2540245616082615,11.40061540953176,0.0797145556220688,0.12528148801683253,20.74597543839174,26.59938459046824,0.2279777520702389,0.29230092956558507,No significant difference (summer slightly higher)
7,7 - Rockhampton,NA,51,51,10,8,0.19230769230769232,0.1568627450980392,0.10712126708800558,0.09981137270897333,4.3445076862040235,2.90961999184236,0.08518642521968674,0.05705137238906588,15.270876929180593,13.09038000815764,0.2994289593956979,0.25667411780701255,No significant difference (winter slightly higher)
8,8 - Moree,NA,7,7,1,3,0.125,0.42857142857142855,0.2291765149399039,0.3666060555964672,-0.7292356045793273,0.43375761082472947,-0.1041765149399039,0.06196537297496135,2.479235604579327,5.566242389175271,0.3541765149399039,0.7951774841678958,No significant difference (summer slightly higher)
9,9 - Amberley,✅,493,493,89,123,0.17729083665338646,0.24949290060851928,0.033409542208120396,0.0381978668208008,70.93347816151618,104.1684516573452,0.14388129444526607,0.21129503378771847,103.87528677872288,141.8315483426548,0.21070037886150686,0.2876907674293201,More suffering in summer
10,10 - Brisbane,✅,1927,1927,398,463,0.1966403162055336,0.2402698495070057,0.017315782247991948,0.019076317111964357,345.5583769361828,426.23993692524465,0.17932453395754167,0.22119353239504133,412.2934017199437,499.76006307475524,0.21395609845352553,0.25934616661897003,More suffering in summer
11,11 - Coffs Harbour,✅,95,95,21,37,0.21,0.3894736842105263,0.0798324144693119,0.09805856247015539,12.365920625415367,27.68443656533524,0.13016758553068808,0.29141512174037093,27.534079374584632,46.31556343466476,0.2898324144693119,0.4875322466806817,More suffering in summer
12,12 - Geraldton,NA,13,13,5,4,0.3333333333333333,0.3076923076923077,0.23856360282447234,0.25089516567725745,1.2320064966151927,0.7383628461956534,0.09476973050886098,0.05679714201505026,7.434660170051474,7.261637153804347,0.5718969361578057,0.5585874733695652,No significant difference (winter slightly higher)
13,13 - Perth,NA,839,839,224,183,0.2571756601607348,0.21811680572109654,0.029027189512047573,0.027944130105107184,191.41656687424856,159.55487484181506,0.2281484706486872,0.19017267561598936,240.1241908754644,206.44512515818494,0.28620284967278237,0.24606093582620372,No significant difference (winter slightly higher)
14,14 - Armidale,NA,58,58,16,16,0.2711864406779661,0.27586206896551724,0.11344158165376633,0.11502671510742453,9.149201823403587,9.328450523769378,0.15774485902419977,0.16083535385809272,22.308425295240482,22.67154947623062,0.38462802233173243,0.39088878407294175,No significant difference (summer slightly higher)
15,15 - Williamtown,NA,396,396,111,123,0.2707317073170732,0.3106060606060606,0.04301078507871203,0.045577150737585156,90.17748520639101,104.95144830791628,0.22772092223836116,0.26502890986847544,124.24202698873094,141.04855169208372,0.3137424923957852,0.3561832113436458,No significant difference (summer slightly higher)
