zone,season,signif,ntotal,n,p,moe,nlow,plow,nhigh,phigh
2,Winter,❌,13,1,0.07692307692307693,0.14485439144214035,-0.8831070887478245,-0.06793131451906342,2.8831070887478245,0.22177746836521728
2,Summer,❌,13,3,0.23076923076923078,0.22903490301738305,0.0225462607740205,0.0017343277518477307,5.97745373922598,0.45980413378661383
3,Winter,❌,11,2,0.16666666666666666,0.21086242662684826,-0.4861533595619976,-0.0441957599601816,4.152820026228664,0.3775290932935149
3,Summer,❌,11,2,0.18181818181818182,0.22793094766745262,-0.5072404243419787,-0.04611276584927079,4.507240424341979,0.40974912948563447
5,Winter,❌,91,14,0.15384615384615385,0.07413159822408505,7.2540245616082615,0.0797145556220688,20.74597543839174,0.2279777520702389
5,Summer,❌,91,19,0.2087912087912088,0.08350972077437628,11.40061540953176,0.12528148801683253,26.59938459046824,0.29230092956558507
7,Winter,❌,51,10,0.19230769230769232,0.10712126708800558,4.3445076862040235,0.08518642521968674,15.270876929180593,0.2994289593956979
7,Summer,❌,51,8,0.1568627450980392,0.09981137270897333,2.90961999184236,0.05705137238906588,13.09038000815764,0.25667411780701255
8,Winter,❌,7,1,0.125,0.2291765149399039,-0.7292356045793273,-0.1041765149399039,2.479235604579327,0.3541765149399039
8,Summer,❌,7,3,0.42857142857142855,0.3666060555964672,0.43375761082472947,0.06196537297496135,5.566242389175271,0.7951774841678958
9,Winter,✅,493,89,0.17729083665338646,0.033409542208120396,70.93347816151618,0.14388129444526607,103.87528677872288,0.21070037886150686
9,Summer,✅,493,123,0.24949290060851928,0.0381978668208008,104.1684516573452,0.21129503378771847,141.8315483426548,0.2876907674293201
10,Winter,✅,1927,398,0.1966403162055336,0.017315782247991948,345.5583769361828,0.17932453395754167,412.2934017199437,0.21395609845352553
10,Summer,✅,1927,463,0.2402698495070057,0.019076317111964357,426.23993692524465,0.22119353239504133,499.76006307475524,0.25934616661897003
11,Winter,✅,95,21,0.21,0.0798324144693119,12.365920625415367,0.13016758553068808,27.534079374584632,0.2898324144693119
